GeneID	Phylostratum
WBGene00000001	1
WBGene00000002	1
WBGene00000003	1
WBGene00000004	1
WBGene00000005	2
WBGene00000006	3
WBGene00000007	2
WBGene00000008	3
WBGene00000009	2
WBGene00000010	2
WBGene00000012	12
WBGene00000013	2
WBGene00000014	5
WBGene00000015	5
WBGene00000016	5
WBGene00000017	5
WBGene00000018	1
WBGene00000019	8
WBGene00000020	1
WBGene00000022	1
WBGene00000023	2
WBGene00000024	12
WBGene00000025	12
WBGene00000027	12
WBGene00000028	12
WBGene00000029	5
WBGene00000030	5
WBGene00000031	5
WBGene00000032	5
WBGene00000033	2
WBGene00000034	5
WBGene00000035	1
WBGene00000036	2
WBGene00000037	1
WBGene00000038	1
WBGene00000039	1
WBGene00000040	2
WBGene00000041	1
WBGene00000042	1
WBGene00000043	1
WBGene00000044	3
WBGene00000045	2
WBGene00000046	2
WBGene00000047	1
WBGene00000048	2
WBGene00000049	2
WBGene00000050	4
WBGene00000051	1
WBGene00000053	2
WBGene00000054	2
WBGene00000055	2
WBGene00000056	2
WBGene00000057	2
WBGene00000058	1
WBGene00000059	2
WBGene00000060	2
WBGene00000061	2
WBGene00000062	2
WBGene00000063	1
WBGene00000064	1
WBGene00000065	1
WBGene00000066	1
WBGene00000067	1
WBGene00000068	1
WBGene00000069	2
WBGene00000070	2
WBGene00000071	2
WBGene00000072	1
WBGene00000073	1
WBGene00000074	1
WBGene00000075	1
WBGene00000079	2
WBGene00000080	1
WBGene00000081	2
WBGene00000082	1
WBGene00000083	1
WBGene00000084	2
WBGene00000085	1
WBGene00000086	1
WBGene00000088	2
WBGene00000089	1
WBGene00000090	2
WBGene00000092	1
WBGene00000093	5
WBGene00000094	11
WBGene00000095	1
WBGene00000096	1
WBGene00000097	1
WBGene00000098	1
WBGene00000099	1
WBGene00000100	1
WBGene00000101	2
WBGene00000102	1
WBGene00000103	1
WBGene00000105	1
WBGene00000106	1
WBGene00000107	1
WBGene00000108	1
WBGene00000109	2
WBGene00000110	1
WBGene00000111	1
WBGene00000112	1
WBGene00000113	1
WBGene00000114	1
WBGene00000115	2
WBGene00000116	3
WBGene00000117	2
WBGene00000118	2
WBGene00000120	1
WBGene00000121	1
WBGene00000122	1
WBGene00000123	1
WBGene00000133	5
WBGene00000134	4
WBGene00000135	2
WBGene00000136	5
WBGene00000137	1
WBGene00000138	4
WBGene00000139	3
WBGene00000140	2
WBGene00000142	1
WBGene00000143	2
WBGene00000144	9
WBGene00000145	2
WBGene00000146	2
WBGene00000147	2
WBGene00000148	1
WBGene00000149	1
WBGene00000150	1
WBGene00000151	1
WBGene00000155	1
WBGene00000156	1
WBGene00000157	1
WBGene00000158	1
WBGene00000159	2
WBGene00000160	1
WBGene00000161	1
WBGene00000162	1
WBGene00000163	1
WBGene00000164	1
WBGene00000165	3
WBGene00000166	2
WBGene00000168	1
WBGene00000169	1
WBGene00000170	1
WBGene00000171	1
WBGene00000172	2
WBGene00000173	8
WBGene00000174	6
WBGene00000175	1
WBGene00000176	1
WBGene00000177	2
WBGene00000178	2
WBGene00000179	2
WBGene00000180	4
WBGene00000181	2
WBGene00000182	1
WBGene00000183	1
WBGene00000184	2
WBGene00000185	1
WBGene00000186	1
WBGene00000187	1
WBGene00000188	1
WBGene00000189	1
WBGene00000190	1
WBGene00000192	1
WBGene00000193	2
WBGene00000195	1
WBGene00000196	1
WBGene00000197	1
WBGene00000198	1
WBGene00000199	1
WBGene00000200	1
WBGene00000201	1
WBGene00000202	2
WBGene00000203	1
WBGene00000204	2
WBGene00000205	2
WBGene00000206	1
WBGene00000207	1
WBGene00000208	1
WBGene00000209	1
WBGene00000210	1
WBGene00000211	1
WBGene00000212	1
WBGene00000213	1
WBGene00000214	1
WBGene00000215	1
WBGene00000216	2
WBGene00000217	1
WBGene00000218	1
WBGene00000219	1
WBGene00000220	2
WBGene00000221	2
WBGene00000222	2
WBGene00000223	2
WBGene00000224	1
WBGene00000225	1
WBGene00000226	1
WBGene00000227	1
WBGene00000228	1
WBGene00000229	1
WBGene00000230	1
WBGene00000231	1
WBGene00000232	1
WBGene00000233	1
WBGene00000235	1
WBGene00000236	3
WBGene00000237	3
WBGene00000238	2
WBGene00000239	1
WBGene00000240	1
WBGene00000241	2
WBGene00000242	1
WBGene00000244	1
WBGene00000245	1
WBGene00000246	1
WBGene00000247	1
WBGene00000248	1
WBGene00000249	1
WBGene00000250	1
WBGene00000251	7
WBGene00000252	1
WBGene00000253	1
WBGene00000254	1
WBGene00000255	2
WBGene00000256	1
WBGene00000257	2
WBGene00000259	2
WBGene00000262	1
WBGene00000263	1
WBGene00000264	1
WBGene00000265	2
WBGene00000266	1
WBGene00000267	6
WBGene00000268	1
WBGene00000269	1
WBGene00000270	2
WBGene00000271	1
WBGene00000272	1
WBGene00000273	4
WBGene00000274	1
WBGene00000275	2
WBGene00000276	2
WBGene00000277	1
WBGene00000279	1
WBGene00000280	1
WBGene00000281	1
WBGene00000282	1
WBGene00000283	1
WBGene00000284	1
WBGene00000285	1
WBGene00000286	1
WBGene00000287	1
WBGene00000288	1
WBGene00000289	1
WBGene00000292	1
WBGene00000293	1
WBGene00000294	1
WBGene00000295	1
WBGene00000296	1
WBGene00000298	1
WBGene00000301	1
WBGene00000302	4
WBGene00000366	1
WBGene00000367	1
WBGene00000368	1
WBGene00000369	1
WBGene00000370	1
WBGene00000371	1
WBGene00000372	2
WBGene00000373	2
WBGene00000375	1
WBGene00000376	1
WBGene00000377	1
WBGene00000378	1
WBGene00000379	1
WBGene00000380	1
WBGene00000381	1
WBGene00000382	1
WBGene00000383	2
WBGene00000386	1
WBGene00000387	1
WBGene00000388	1
WBGene00000389	1
WBGene00000390	1
WBGene00000391	2
WBGene00000392	2
WBGene00000393	1
WBGene00000395	1
WBGene00000396	1
WBGene00000397	1
WBGene00000399	2
WBGene00000401	1
WBGene00000402	2
WBGene00000403	1
WBGene00000405	1
WBGene00000406	1
WBGene00000407	1
WBGene00000408	2
WBGene00000409	1
WBGene00000410	1
WBGene00000411	1
WBGene00000412	2
WBGene00000413	1
WBGene00000414	1
WBGene00000415	1
WBGene00000416	1
WBGene00000417	2
WBGene00000418	1
WBGene00000419	1
WBGene00000420	1
WBGene00000421	2
WBGene00000422	2
WBGene00000423	1
WBGene00000424	1
WBGene00000425	2
WBGene00000426	1
WBGene00000427	0
WBGene00000428	1
WBGene00000429	1
WBGene00000430	1
WBGene00000431	1
WBGene00000432	1
WBGene00000433	1
WBGene00000434	2
WBGene00000435	1
WBGene00000436	2
WBGene00000437	1
WBGene00000438	1
WBGene00000439	1
WBGene00000440	1
WBGene00000441	2
WBGene00000442	2
WBGene00000443	1
WBGene00000444	13
WBGene00000445	2
WBGene00000446	10
WBGene00000447	1
WBGene00000448	1
WBGene00000449	1
WBGene00000450	1
WBGene00000451	1
WBGene00000452	1
WBGene00000453	2
WBGene00000454	1
WBGene00000455	1
WBGene00000457	2
WBGene00000458	1
WBGene00000459	2
WBGene00000460	13
WBGene00000461	1
WBGene00000462	10
WBGene00000463	1
WBGene00000464	1
WBGene00000465	1
WBGene00000466	1
WBGene00000467	8
WBGene00000468	1
WBGene00000469	2
WBGene00000472	1
WBGene00000473	2
WBGene00000474	2
WBGene00000475	2
WBGene00000476	1
WBGene00000477	1
WBGene00000478	1
WBGene00000479	1
WBGene00000480	2
WBGene00000481	2
WBGene00000482	1
WBGene00000483	4
WBGene00000484	1
WBGene00000485	1
WBGene00000487	2
WBGene00000488	2
WBGene00000490	1
WBGene00000491	2
WBGene00000492	1
WBGene00000493	2
WBGene00000496	1
WBGene00000497	1
WBGene00000498	1
WBGene00000499	2
WBGene00000500	1
WBGene00000501	1
WBGene00000502	1
WBGene00000503	1
WBGene00000506	1
WBGene00000507	1
WBGene00000508	8
WBGene00000509	2
WBGene00000510	1
WBGene00000511	8
WBGene00000512	8
WBGene00000513	8
WBGene00000514	8
WBGene00000515	2
WBGene00000516	1
WBGene00000517	1
WBGene00000518	1
WBGene00000519	2
WBGene00000520	2
WBGene00000521	1
WBGene00000522	2
WBGene00000523	2
WBGene00000524	1
WBGene00000525	2
WBGene00000526	2
WBGene00000527	1
WBGene00000528	1
WBGene00000529	1
WBGene00000530	1
WBGene00000531	1
WBGene00000532	1
WBGene00000533	2
WBGene00000534	1
WBGene00000535	1
WBGene00000536	1
WBGene00000537	2
WBGene00000539	2
WBGene00000540	2
WBGene00000541	2
WBGene00000542	1
WBGene00000543	2
WBGene00000544	13
WBGene00000545	9
WBGene00000546	13
WBGene00000547	1
WBGene00000548	1
WBGene00000549	1
WBGene00000550	2
WBGene00000551	0
WBGene00000552	1
WBGene00000553	1
WBGene00000554	1
WBGene00000555	0
WBGene00000556	12
WBGene00000557	12
WBGene00000558	0
WBGene00000559	0
WBGene00000560	12
WBGene00000561	2
WBGene00000562	2
WBGene00000563	2
WBGene00000564	1
WBGene00000565	1
WBGene00000566	1
WBGene00000567	1
WBGene00000583	1
WBGene00000584	1
WBGene00000585	2
WBGene00000591	1
WBGene00000592	7
WBGene00000593	1
WBGene00000594	1
WBGene00000596	2
WBGene00000597	2
WBGene00000598	0
WBGene00000599	2
WBGene00000601	1
WBGene00000602	1
WBGene00000603	1
WBGene00000606	12
WBGene00000608	2
WBGene00000609	1
WBGene00000610	1
WBGene00000611	1
WBGene00000612	5
WBGene00000613	8
WBGene00000614	3
WBGene00000615	2
WBGene00000616	2
WBGene00000617	1
WBGene00000618	5
WBGene00000620	1
WBGene00000621	1
WBGene00000622	2
WBGene00000623	2
WBGene00000624	0
WBGene00000625	1
WBGene00000626	5
WBGene00000627	5
WBGene00000628	5
WBGene00000629	11
WBGene00000630	5
WBGene00000631	2
WBGene00000632	2
WBGene00000633	9
WBGene00000634	9
WBGene00000636	7
WBGene00000637	2
WBGene00000638	2
WBGene00000639	7
WBGene00000640	7
WBGene00000641	2
WBGene00000644	1
WBGene00000645	5
WBGene00000646	7
WBGene00000647	1
WBGene00000648	2
WBGene00000649	1
WBGene00000650	1
WBGene00000651	5
WBGene00000652	5
WBGene00000653	1
WBGene00000654	9
WBGene00000655	7
WBGene00000656	2
WBGene00000657	7
WBGene00000658	8
WBGene00000659	1
WBGene00000660	1
WBGene00000661	9
WBGene00000662	9
WBGene00000663	2
WBGene00000664	2
WBGene00000665	5
WBGene00000666	9
WBGene00000667	1
WBGene00000668	1
WBGene00000669	1
WBGene00000670	1
WBGene00000671	1
WBGene00000672	1
WBGene00000673	1
WBGene00000674	3
WBGene00000675	1
WBGene00000676	5
WBGene00000677	7
WBGene00000678	1
WBGene00000679	1
WBGene00000680	7
WBGene00000681	2
WBGene00000682	1
WBGene00000683	1
WBGene00000684	1
WBGene00000685	5
WBGene00000687	4
WBGene00000688	1
WBGene00000689	8
WBGene00000690	5
WBGene00000691	1
WBGene00000692	2
WBGene00000693	1
WBGene00000694	7
WBGene00000695	5
WBGene00000696	1
WBGene00000697	1
WBGene00000698	1
WBGene00000699	1
WBGene00000700	2
WBGene00000701	2
WBGene00000702	7
WBGene00000703	7
WBGene00000704	2
WBGene00000705	6
WBGene00000706	7
WBGene00000707	1
WBGene00000708	0
WBGene00000710	1
WBGene00000711	1
WBGene00000712	1
WBGene00000713	2
WBGene00000714	2
WBGene00000715	2
WBGene00000716	2
WBGene00000717	2
WBGene00000718	2
WBGene00000719	2
WBGene00000720	2
WBGene00000721	2
WBGene00000722	2
WBGene00000723	2
WBGene00000724	8
WBGene00000725	4
WBGene00000726	4
WBGene00000727	1
WBGene00000728	1
WBGene00000729	2
WBGene00000730	1
WBGene00000731	4
WBGene00000732	1
WBGene00000733	1
WBGene00000734	2
WBGene00000735	2
WBGene00000736	8
WBGene00000737	5
WBGene00000738	4
WBGene00000739	2
WBGene00000740	2
WBGene00000741	2
WBGene00000742	2
WBGene00000743	2
WBGene00000744	2
WBGene00000745	2
WBGene00000746	3
WBGene00000747	2
WBGene00000748	7
WBGene00000749	2
WBGene00000750	7
WBGene00000751	1
WBGene00000752	1
WBGene00000753	2
WBGene00000754	1
WBGene00000756	1
WBGene00000757	2
WBGene00000758	1
WBGene00000759	2
WBGene00000760	7
WBGene00000761	1
WBGene00000762	1
WBGene00000763	1
WBGene00000764	1
WBGene00000765	1
WBGene00000766	1
WBGene00000767	1
WBGene00000768	1
WBGene00000770	1
WBGene00000771	1
WBGene00000772	1
WBGene00000773	1
WBGene00000774	1
WBGene00000775	2
WBGene00000776	1
WBGene00000777	1
WBGene00000778	2
WBGene00000779	1
WBGene00000780	3
WBGene00000781	1
WBGene00000782	1
WBGene00000783	11
WBGene00000784	1
WBGene00000785	1
WBGene00000786	1
WBGene00000787	1
WBGene00000788	1
WBGene00000789	1
WBGene00000792	1
WBGene00000793	1
WBGene00000794	1
WBGene00000795	1
WBGene00000796	1
WBGene00000797	11
WBGene00000798	2
WBGene00000799	7
WBGene00000800	1
WBGene00000802	1
WBGene00000803	1
WBGene00000804	2
WBGene00000812	1
WBGene00000813	2
WBGene00000814	1
WBGene00000815	1
WBGene00000816	1
WBGene00000817	2
WBGene00000818	2
WBGene00000819	12
WBGene00000820	13
WBGene00000821	13
WBGene00000822	1
WBGene00000829	0
WBGene00000830	1
WBGene00000831	1
WBGene00000832	1
WBGene00000833	1
WBGene00000834	1
WBGene00000835	1
WBGene00000836	1
WBGene00000837	1
WBGene00000838	1
WBGene00000839	1
WBGene00000840	2
WBGene00000841	1
WBGene00000843	1
WBGene00000845	2
WBGene00000846	1
WBGene00000851	1
WBGene00000853	2
WBGene00000854	2
WBGene00000857	1
WBGene00000858	1
WBGene00000859	13
WBGene00000860	13
WBGene00000861	0
WBGene00000862	4
WBGene00000863	1
WBGene00000864	13
WBGene00000865	1
WBGene00000866	1
WBGene00000867	1
WBGene00000868	1
WBGene00000869	1
WBGene00000870	1
WBGene00000871	2
WBGene00000872	1
WBGene00000874	2
WBGene00000875	1
WBGene00000876	1
WBGene00000877	1
WBGene00000878	1
WBGene00000879	1
WBGene00000880	1
WBGene00000881	1
WBGene00000882	1
WBGene00000883	1
WBGene00000884	1
WBGene00000885	1
WBGene00000886	1
WBGene00000887	1
WBGene00000888	1
WBGene00000889	2
WBGene00000890	1
WBGene00000891	1
WBGene00000892	1
WBGene00000893	2
WBGene00000894	2
WBGene00000895	1
WBGene00000896	1
WBGene00000897	1
WBGene00000898	1
WBGene00000899	2
WBGene00000900	1
WBGene00000901	1
WBGene00000902	2
WBGene00000903	1
WBGene00000904	1
WBGene00000905	2
WBGene00000906	1
WBGene00000907	2
WBGene00000908	2
WBGene00000910	3
WBGene00000911	1
WBGene00000912	1
WBGene00000913	1
WBGene00000914	1
WBGene00000915	1
WBGene00000917	1
WBGene00000920	11
WBGene00000923	1
WBGene00000928	2
WBGene00000929	3
WBGene00000930	6
WBGene00000931	2
WBGene00000932	11
WBGene00000933	1
WBGene00000934	1
WBGene00000935	2
WBGene00000936	2
WBGene00000937	1
WBGene00000938	1
WBGene00000939	1
WBGene00000940	1
WBGene00000941	2
WBGene00000942	1
WBGene00000950	2
WBGene00000951	1
WBGene00000952	2
WBGene00000953	2
WBGene00000955	2
WBGene00000958	1
