age	ID	ageN
N36	G013495	11
N36	G012562	11
N36	G013704	11
N36	G012561	11
N36	G013496	11
N36	G007162	11
N36	G009096	11
N36	G016905	11
N36	G028509	11
N36	G017637	11
N36	G012319	11
N36	G020144	11
N36	G010879	11
N36	G003119	11
N36	G011928	11
N36	G004930	11
N36	G020955	11
N36	G021874	11
N36	G011926	11
N36	G010880	11
N36	G012318	11
N36	G002915	11
N36	G014038	11
N36	G020954	11
N36	G014143	11
N36	G013526	11
N36	G021873	11
N36	G024375	11
N36	G014545	11
N36	G009810	11
N36	G016431	11
N36	G019313	11
N36	G010594	11
N36	G015488	11
N36	G018818	11
N36	G018795	11
N36	G000532	11
N36	G019741	11
N36	G013928	11
N36	G003276	11
N36	G003274	11
N36	G003305	11
N36	G003291	11
N36	G003307	11
N36	G014244	11
N36	G003295	11
N36	G014246	11
N36	G003287	11
N36	G003299	11
N36	G014247	11
N36	G003303	11
N36	G003264	11
N36	G010122	11
N36	G014245	11
N36	G003266	11
N36	G013520	11
N36	G003286	11
N36	G028258	11
N36	G024477	11
N36	G024479	11
N36	G025893	11
N36	G006241	11
N36	G021562	11
N36	G025105	11
N36	G008574	11
N36	G024415	11
N36	G004432	11
N36	G008573	11
N36	G015196	11
N36	G020325	11
N36	G012108	11
N36	G012110	11
N36	G013291	11
N36	G018850	11
N36	G012125	11
N36	G019872	11
N36	G023730	11
N36	G013711	11
N36	G021717	11
N36	G001921	11
N36	G002184	11
N36	G002190	11
N36	G002186	11
N36	G002191	11
N36	G002215	11
N36	G005093	11
N36	G026999	11
N36	G005925	11
N36	G004929	11
N36	G002507	11
N36	G013853	11
N36	G017005	11
N36	G017187	11
N36	G019269	11
N36	G024140	11
N36	G015127	11
N36	G009823	11
N36	G026833	11
N36	G001133	11
N36	G006621	11
N36	G027407	11
N36	G015153	11
N36	G016068	11
N36	G015120	11
N36	G020350	11
N36	G013301	11
N36	G010135	11
N36	G001305	11
N36	G026070	11
N36	G015778	11
N36	G023689	11
N36	G002630	11
N36	G003710	11
N36	G025988	11
N36	G010435	11
N36	G003138	11
N36	G027328	11
N36	G017009	11
N36	G009155	11
N36	G003432	11
N36	G007166	11
N36	G012361	11
N36	G026054	11
N36	G015624	11
N36	G011103	11
N36	G019500	11
N36	G002981	11
N36	G003767	11
N36	G009701	11
N36	G009269	11
N36	G003855	11
N36	G019082	11
N36	G002908	11
N36	G017287	11
N36	G025838	11
N36	G010902	11
N36	G013869	11
N36	G013717	11
N36	G010833	11
N36	G021143	11
N36	G001845	11
N36	G017055	11
N36	G024370	11
N36	G004688	11
N36	G007279	11
N36	G015676	11
N36	G007080	11
N36	G016877	11
N36	G009430	11
N36	G022706	11
N36	G021704	11
N36	G007261	11
N36	G007254	11
N36	G007259	11
N36	G007249	11
N36	G007255	11
N36	G015433	11
N36	G003602	11
N36	G003593	11
N36	G003598	11
N36	G003600	11
N36	G018620	11
N36	G017216	11
N36	G024148	11
N36	G019604	11
N36	G017669	11
N36	G006858	11
N36	G024118	11
N36	G015540	11
N36	G023988	11
N36	G019358	11
N36	G021784	11
N36	G015528	11
N36	G023987	11
N36	G007341	11
N36	G015529	11
N36	G025482	11
N36	G019362	11
N36	G015532	11
N36	G023991	11
N36	G011709	11
N36	G005755	11
N36	G021782	11
N36	G003098	11
N36	G005070	11
N36	G005052	11
N36	G003099	11
N36	G003069	11
N36	G015033	11
N36	G003859	11
N36	G021254	11
N36	G016533	11
N36	G016532	11
N36	G027377	11
N36	G008639	11
N36	G003137	11
N36	G007160	11
N36	G014514	11
N36	G014543	11
N36	G014521	11
N36	G014556	11
N36	G014512	11
N36	G014520	11
N36	G014506	11
N36	G014513	11
N36	G015685	11
N36	G018386	11
N36	G019901	11
N36	G002031	11
N36	G001816	11
N36	G003222	11
N36	G007430	11
N36	G017733	11
N36	G015750	11
N36	G007431	11
N36	G019787	11
N36	G008042	11
N36	G025276	11
N36	G024261	11
N36	G015929	11
N36	G026242	11
N36	G024599	11
N36	G001824	11
N36	G009328	11
N36	G004893	11
N36	G024339	11
N36	G002545	11
N36	G020644	11
N36	G021256	11
N36	G018815	11
N36	G005365	11
N36	G000089	11
N36	G011568	11
N36	G011504	11
N36	G021740	11
N36	G028832	11
N36	G017829	11
N36	G012831	11
N36	G005592	11
N36	G024391	11
N36	G024378	11
N36	G000748	11
N36	G026792	11
N36	G012245	11
N36	G027559	11
N36	G025994	11
N36	G025971	11
N36	G010016	11
N36	G001236	11
N36	G009863	11
N36	G001154	11
N36	G007759	11
N36	G005000	11
N36	G015641	11
N36	G010218	11
N36	G008883	11
N36	G011427	11
N36	G010663	11
N36	G025551	11
N36	G005773	11
N36	G012464	11
N36	G027529	11
N36	G020777	11
N36	G020778	11
N36	G020779	11
N36	G020795	11
N36	G006914	11
N36	G009182	11
N36	G015450	11
N36	G028129	11
N36	G013342	11
N36	G010734	11
N36	G017473	11
N36	G004539	11
N36	G009853	11
N36	G025166	11
N36	G025176	11
N36	G014586	11
N36	G011455	11
N36	G020107	11
N36	G001270	11
N36	G011962	11
N36	G005613	11
N36	G010910	11
N36	G003269	11
